ABATACEPT	3400926884376
BENAZEPRIL	3400939220598;3400938708073;3400938708363;3400937223669;3400933259495;3400939076409;3400938708882;3400921768268;3400937842617;3400938708592;3400921766196;3400937223959;3400921767728;3400921765717;3400937312301;3400937842495;3400937312479;3400937224260;3400937312189;3400937312769;3400937223898;3400939220598;3400938708073;3400938708363;3400937223669;3400933259495;3400939076409;3400938708882;3400921768268;3400937842617;3400938708592;3400921766196;3400937223959;3400921767728;3400921765717;3400937312301;3400937842495;3400937312479;3400937224260;3400937312189;3400937312769;3400937223898;3400937238809;3400937155960;3400921770278;3400937156103;3400939028033;3400921769678;3400938743081;3400937239059;3400939028262;3400938743203
BENDROFLUMETHIAZIDE	3400931037460
BENZYLPENICILLINE	3400930390955;3400930391037;3400930390894
BEPRIDIL	3400934104541;3400934104480
BETAMETHASONE	3400932758265;3400932309016;3400933755805;3400938946994;3400934124471;3400930195086;3400932308293;3400938947076;3400938947137;3400938877885;3400937797740;3400938947366;3400931431312;3400930110621;3400938878196;3400932473564;3400930110041;3400930194607;3400930109670;3400930110102;3400932473335;3400932057771;3400932746439;3400931432081;3400938875416;3400931984399;3400932005093;3400938877595;3400930109960;3400930109731;3400932758265;3400932309016;3400933755805;3400938946994;3400934124471;3400930195086;3400932308293;3400938947076;3400938947137;3400938877885;3400937797740;3400938947366;3400931431312;3400930110621;3400938878196;3400932473564;3400930110041;3400930194607;3400930109670;3400930110102;3400932473335;3400932057771;3400932746439;3400931432081;3400938875416;3400931984399;3400932005093;3400938877595;3400930109960;3400930109731;3400932399192;3400932309245;3400938969368;3400938969719;3400936082687;3400930194546
BETAXOLOL	3400927380525;3400927379116;3400932549429;3400926976439;3400927378973;3400927328596;3400927379574;3400926976729;3400927379864;3400933871758;3400927380754;3400932904587;3400933512958;3400937146456;3400927328428
BEZAFIBRATE	3400937177382;3400932931491;3400932621729
BISOPROLOL	3400939100913;3400949186280;3400922296753;3400949219780;3400938192841;3400935313188;3400949300907;3400941751912;3400935313249;3400935315830;3400935297419;3400939099989;3400927725869;3400935296467;3400935297068;3400939098579;3400922298825;3400937304375;3400939119892;3400949301508;3400949302048;3400949406746;3400936239258;3400935296986;3400941752681;3400935296696;3400922300696;3400935297129;3400935295408;3400927687976;3400937224550;3400935296177;3400937398985;3400935314888;3400935296818;3400939101804;3400939569574;3400949300556;3400927726989;3400941939877;3400927723629;3400922300177;3400936238947;3400941752223;3400937387811;3400935315250;3400949188703;3400935593283;3400935315489;3400935295927;3400937685467;3400938134070;3400941751561;3400936124943;3400922298306;3400949218899;3400949220502;3400927727931;3400927728822;3400927689000;3400937188210;3400935312938;3400937847810;3400939118314;3400937124515;3400927690648;3400941533211;3400936124363;3400935608055;3400935295637;3400936239197;3400936239029;3400949303229;3400932955046;3400938762990;3400936150966;3400936152458;3400936125254;3400935314130;3400936125315;3400941533150;3400941751622;3400935609816;3400927727122;3400935715715;3400941751790;3400922258034;3400941752452;3400937398008;3400935881755;3400937291095;3400936124592;3400949302796;3400936124073;3400922262635;3400935715654;3400935609755;3400935607973;3400949898879;3400936151567;3400935314420;3400937242240;3400936151109;3400936124424;3400922262864;3400927724749;3400949896639;3400938169379;3400935313997;3400949187232;3400941533730;3400935297297;3400936124714;3400949896110;3400937188388;3400935315021;3400927690129;3400935314659;3400922262345;3400941751851;3400939100913;3400949186280;3400922296753;3400949219780;3400938192841;3400935313188;3400949300907;3400941751912;3400935313249;3400935315830;3400935297419;3400939099989;3400927725869;3400935296467;3400935297068;3400939098579;3400922298825;3400937304375;3400939119892;3400949301508;3400949302048;3400949406746;3400936239258;3400935296986;3400941752681;3400935296696;3400922300696;3400935297129;3400935295408;3400927687976;3400937224550;3400935296177;3400937398985;3400935314888;3400935296818;3400939101804;3400939569574;3400949300556;3400927726989;3400941939877;3400927723629;3400922300177;3400936238947;3400941752223;3400937387811;3400935315250;3400949188703;3400935593283;3400935315489;3400935295927;3400937685467;3400938134070;3400941751561;3400936124943;3400922298306;3400949218899;3400949220502;3400927727931;3400927728822;3400927689000;3400937188210;3400935312938;3400937847810;3400939118314;3400937124515;3400927690648;3400941533211;3400936124363;3400935608055;3400935295637;3400936239197;3400936239029;3400949303229;3400932955046;3400938762990;3400936150966;3400936152458;3400936125254;3400935314130;3400936125315;3400941533150;3400941751622;3400935609816;3400927727122;3400935715715;3400941751790;3400922258034;3400941752452;3400937398008;3400935881755;3400937291095;3400936124592;3400949302796;3400936124073;3400922262635;3400935715654;3400935609755;3400935607973;3400949898879;3400936151567;3400935314420;3400937242240;3400936151109;3400936124424;3400922262864;3400927724749;3400949896639;3400938169379;3400935313997;3400949187232;3400941533730;3400935297297;3400936124714;3400949896110;3400937188388;3400935315021;3400927690129;3400935314659;3400922262345;3400941751851;3400939225791;3400939224213;3400921968521;3400921968170;3400939225272;3400939224503;3400939226163;3400936054363;3400936093973;3400938697674;3400938696615;3400939226453;3400936365148;3400922344690;3400936153059;3400939228754;3400939228006;3400936366268;3400934574962;3400936098138;3400939224961;3400938697384;3400939223612;3400938696844;3400939892993;3400939893365;3400936363717;3400936053472;3400922347363;3400938696325;3400922345932;3400934590061;3400934574382;3400934589522;3400934573842;3400939223902;3400939227344;3400939892306;3400936038974;3400936274617;3400936364196;3400922344751;3400922347134;3400938816563;3400939226743;3400936097766;3400936168428;3400922345871;3400939228464;3400939222950;3400938223699;3400936309319;3400938221688;3400939892016;3400938697155;3400936208261;3400936363366;3400938873054;3400939227634;3400938872514;3400936364547;3400939227054;3400936078727;3400939223322;3400938871913;3400934590290;3400934590580;3400938224641;3400939891125;3400938816334;3400938816624;3400936279988;3400936280359;3400936075474;3400936173910;3400939891415;3400934590702;3400936174450;3400936365728;3400934589751
BLEOMYCINE	3400930131961
BOCEPREVIR	3400941946790
BOSUTINIB	3400926993528
BROMAZEPAM	3400934883507;3400937920360;3400937979153;3400934772283;3400934884276;3400938554465;3400934772344;3400936106734;3400931742845;3400927713972;3400935248091;3400936583320;3400933825973;3400934883675;3400931534778;3400938025859;3400934884108;3400936743489
BROMOCRIPTINE	3400933195359;3400934742828;3400932026555;3400933473884;3400934742309;3400933415754;3400933473655;3400933582807;3400933473716
BROMPHENIRAMINE	3400930319239;3400930319000
BUDESONIDE	3400933327545;3400938658293;3400938657005;3400935856333;3400934147883;3400934147715;3400933747879;3400922092997;3400936263260;3400935856043;3400922258492;3400935692788;3400935158222;3400936723788;3400936240667;3400935692610;3400922092829;3400933348366;3400936722668;3400933727130;3400933735692;3400936984615;3400936984905;3400936722088;3400922258324;3400933649616;3400936984783;3400936721487;3400936723269;3400936293885;3400936724211;3400949600915;3400949892037;3400949499717;3400936294028;3400933327545;3400938658293;3400938657005;3400935856333;3400934147883;3400934147715;3400933747879;3400922092997;3400936263260;3400935856043;3400922258492;3400935692788;3400935158222;3400936723788;3400936240667;3400935692610;3400922092829;3400933348366;3400936722668;3400933727130;3400933735692;3400936984615;3400936984905;3400936722088;3400922258324;3400933649616;3400936984783;3400936721487;3400936723269;3400936293885;3400936724211;3400949600915;3400949892037;3400949499717;3400936294028;3400935997302;3400935658203;3400935658432;3400949009992
BUMETANIDE	3400934521393;3400932939657;3400932858422
